WD23CD,WD23NM,WD23NMW,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile,total_Population
E05013122,Aston Clinton and Bierton, ,2.969,8,8,30230.0,8,4,14925.0
E05013123,Aylesbury East, ,1.484,3,3,12921.5,4,2,11267.0
E05013124,Aylesbury North, ,4.594,3,3,12069.0,3,2,13119.0
E05013125,Aylesbury North West, ,7.192,2,2,7566.0,2,1,13871.0
E05013126,Aylesbury South East, ,1.484,6,6,23939.0,6,3,11664.0
E05013127,Aylesbury South West, ,7.393,3,3,11112.0,3,2,11265.0
E05013128,Aylesbury West, ,3.827,3,3,11530.5,3,2,11419.0
E05013129,Beaconsfield, ,2.067,7,7,26665.0,7,4,11396.0
E05013130,Bernwood, ,1.409,7,7,26843.5,7,4,11473.0
E05013131,"Booker, Cressex and Castlefield", ,7.881,3,3,10026.5,3,2,12782.0
